id,country,state,neighbourhood_cleansed,property_type,square_meters,price,room_type,bathrooms,bedrooms,beds
992838,Australia,NSW,BALLINA SHIRE COUNCIL,House,19.61,$114.00 ,Private room,1,1,1
21937115,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,21.75,$110.00 ,Entire home/apt,1,1,1
17387927,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,19.68,$121.00 ,Entire home/apt,1,2,2
24756584,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,19.50,$94.00 ,Entire home/apt,1,1,1
2620938,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,20.66,$94.00 ,Entire home/apt,1,2,2
27892120,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,18.85,$80.00 ,Entire home/apt,1,0,1
21462083,Australia,NSW,BALLINA SHIRE COUNCIL,House,22.48,$136.00 ,Entire home/apt,1,1,1
7099847,Australia,New South Wales,BALLINA SHIRE COUNCIL,House,21.29,$125.00 ,Private room,1,1,2
16705398,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,18.39,$87.00 ,Entire home/apt,1,1,1
18160182,Australia,NSW,BALLINA SHIRE COUNCIL,House,19.97,$115.00 ,Private room,1,1,2
33076034,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,18.11,$85.00 ,Private room,1,2,2
7351253,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,20.20,"$1,080.00 ",Entire home/apt,2,3,4
17174356,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,20.02,$91.00 ,Entire home/apt,1,0,1
14360381,Australia,NSW,BALLINA SHIRE COUNCIL,House,20.21,$141.00 ,Private room,1,3,6
21700820,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,21.58,$129.00 ,Entire home/apt,1,2,4
29597687,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,20.04,$95.00 ,Entire home/apt,1,0,1
14942821,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,20.53,$140.00 ,Entire home/apt,1,2,5
33596750,Australia,NSW,BALLINA SHIRE COUNCIL,House,20.18,$94.00 ,Private room,1.5,1,1
15747657,Australia,NSW,BALLINA SHIRE COUNCIL,House,18.30,$89.00 ,Private room,1,1,2
8978428,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,20.35,$99.00 ,Entire home/apt,1,1,4
23090322,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,19.27,$119.00 ,Entire home/apt,1,1,1
14062545,Australia,NSW,BALLINA SHIRE COUNCIL,House,21.15,$150.00 ,Entire home/apt,1.5,2,3
1107994,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,20.44,$151.00 ,Entire home/apt,1,1,1
31105678,Australia,NSW,BALLINA SHIRE COUNCIL,Camper/RV,19.11,$90.00 ,Private room,1,1,3
21884866,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,21.63,$125.00 ,Entire home/apt,1,1,1
17725937,Australia,NSW,BALLINA SHIRE COUNCIL,House,19.90,$111.00 ,Entire home/apt,1,1,1
2461879,Australia,New South Wales,BALLINA SHIRE COUNCIL,House,19.55,$95.00 ,Private room,1,1,1
15749477,Australia,NSW,BALLINA SHIRE COUNCIL,House,21.04,$99.00 ,Private room,1,1,1
20972306,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,20.58,$119.00 ,Entire home/apt,1,0,1
21625127,Australia,NSW,BALLINA SHIRE COUNCIL,House,21.88,$150.00 ,Entire home/apt,1,1,2
25059196,Australia,NSW,BALLINA SHIRE COUNCIL,House,21.10,$114.00 ,Entire home/apt,1,1,2
27968931,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,19.65,$95.00 ,Entire home/apt,1,1,1
22216216,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,20.47,$119.00 ,Entire home/apt,1,1,1
20875516,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,21.97,$135.00 ,Entire home/apt,1,1,3
4440725,Australia,NSW,BALLINA SHIRE COUNCIL,House,22.12,$111.00 ,Private room,1,1,1
30567735,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,22.63,$125.00 ,Entire home/apt,1,1,2
16679347,Australia,New South Wales,BALLINA SHIRE COUNCIL,Guest suite,22.66,$151.00 ,Entire home/apt,1,2,2
22193970,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,20.36,$145.00 ,Entire home/apt,1,1,1
17835642,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,21.34,$99.00 ,Entire home/apt,1,0,1
16844871,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,19.92,$127.00 ,Entire home/apt,1,0,1
22069495,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,19.17,$111.00 ,Entire home/apt,1,1,1
31063205,Australia,NSW,BALLINA SHIRE COUNCIL,House,22.31,$140.00 ,Private room,1,1,1
430744,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,21.74,$135.00 ,Entire home/apt,1,1,1
28969828,Australia,NSW,BALLINA SHIRE COUNCIL,House,21.88,$121.00 ,Private room,1,2,2
33404353,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,22.21,$121.00 ,Entire home/apt,1,1,1
1127830,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,22.65,$121.00 ,Entire home/apt,1,1,1
13128022,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,22.99,$142.00 ,Entire home/apt,1,2,3
16616675,Australia,NSW,BALLINA SHIRE COUNCIL,House,22.16,$145.00 ,Entire home/apt,1,1,2
23843472,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,20.10,$104.00 ,Entire home/apt,1,0,1
18923401,Australia,NSW,BALLINA SHIRE COUNCIL,House,20.73,$125.00 ,Private room,1,1,1
19255867,Australia,NSW,BALLINA SHIRE COUNCIL,House,19.50,$125.00 ,Private room,1,1,2
34095501,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,23.66,$141.00 ,Entire home/apt,1,2,2
27492998,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,23.95,$158.00 ,Entire home/apt,1,2,2
24525724,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,22.15,$129.00 ,Entire home/apt,1.5,2,5
23880255,Australia,NSW,BALLINA SHIRE COUNCIL,House,23.25,$135.00 ,Private room,1,1,1
16946599,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,20.34,$138.00 ,Entire home/apt,1,1,1
16409173,Australia,NSW,BALLINA SHIRE COUNCIL,House,20.85,$139.00 ,Entire home/apt,1.5,2,4
24357472,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,23.61,$145.00 ,Entire home/apt,1.5,2,2
7517679,Australia,NSW,BALLINA SHIRE COUNCIL,House,20.94,$151.00 ,Entire home/apt,1,2,3
